"manufacturer","mfr.division","carline","displacement","cylinders","transmission","city.fe","hwy.fe","gears","drive.system"
"Toyota","TOYOTA","CAMRY HYBRID XLE/SE",2.5,4,"Auto(AV)",40,37,1,"F"
"Toyota","TOYOTA","COROLLA",1.8,4,"Auto(AV)",28,36,1,"F"
"Toyota","TOYOTA","COROLLA",1.8,4,"Auto(AV-S7)",28,35,7,"F"
"Toyota","TOYOTA","COROLLA",1.8,4,"Manual(M6)",27,35,6,"F"
"Toyota","TOYOTA","COROLLA iM",1.8,4,"Auto(AV-S7)",28,36,7,"F"
"Toyota","TOYOTA","COROLLA iM",1.8,4,"Manual(M6)",27,35,6,"F"
"Toyota","TOYOTA","COROLLA LE ECO",1.8,4,"Auto(AV)",29,38,1,"F"
"Toyota","TOYOTA","COROLLA LE ECO",1.8,4,"Auto(AV)",30,40,1,"F"
"Toyota","TOYOTA","PRIUS",1.8,4,"Auto(AV)",54,50,1,"F"
"Toyota","TOYOTA","PRIUS Eco",1.8,4,"Auto(AV)",58,53,1,"F"
"Volkswagen Group of","Volkswagen","Passat",1.8,4,"Auto(S6)",23,34,6,"F"
"Volkswagen Group of","Volkswagen","Passat",3.6,6,"Auto(AM-S6)",20,28,6,"F"
"Volvo","Volvo Cars of North America, LLC","S90 AWD",2,4,"Auto(S8)",22,31,8,"A"
"Volvo","Volvo Cars of North America, LLC","S90 FWD",2,4,"Auto(S8)",23,34,8,"F"
"Volkswagen Group of","Audi","A8L",3,6,"Auto(S8)",19,29,8,"A"
"Volkswagen Group of","Audi","A8L",4,8,"Auto(S8)",18,29,8,"A"
"BMW","BMW","330i xDrive Gran Turismo",2,4,"Auto(S8)",23,33,8,"A"
"BMW","BMW","340i xDrive Gran Turismo",3,6,"Auto(S8)",20,30,8,"A"
"BMW","BMW","535i Gran Turismo",3,6,"Auto(S8)",19,27,8,"R"
"BMW","BMW","535i xDrive Gran Turismo",3,6,"Auto(S8)",18,26,8,"A"
"BMW","BMW","550i xDrive Gran Turismo",4.4,8,"Auto(S8)",15,24,8,"A"
"BMW","BMW","740i",3,6,"Auto(S8)",21,29,8,"R"
"BMW","BMW","740i xDrive",3,6,"Auto(S8)",19,28,8,"A"
"BMW","BMW","750i",4.4,8,"Auto(S8)",17,26,8,"R"
"BMW","BMW","750i xDrive",4.4,8,"Auto(S8)",16,25,8,"A"
"BMW","BMW","Alpina B7 xDrive",4.4,8,"Auto(S8)",16,24,8,"A"
"BMW","BMW","M760i xDrive",6.6,12,"Auto(S8)",13,20,8,"A"
"BMW","BMW","X1 sDrive28i",2,4,"Auto(S8)",23,32,8,"F"
"BMW","BMW","X1 xDrive28i",2,4,"Auto(S8)",22,31,8,"A"
"General Motors","Cadillac","CT6",2,4,"Auto(S8)",22,30,8,"R"
"General Motors","Cadillac","CT6 AWD",3,6,"Auto(S8)",18,26,8,"A"
"General Motors","Cadillac","CT6 AWD",3.6,6,"Auto(S8)",18,27,8,"A"
"General Motors","Cadillac","XTS",3.6,6,"Auto(S6)",18,28,6,"F"
"General Motors","Cadillac","XTS AWD",3.6,6,"Auto(S6)",16,23,6,"A"
"General Motors","Cadillac","XTS AWD",3.6,6,"Auto(S6)",17,26,6,"A"
"General Motors","Chevrolet","IMPALA",2.5,4,"Auto(S6)",22,30,6,"F"
"General Motors","Chevrolet","IMPALA",3.6,6,"Auto(S6)",19,28,6,"F"
"General Motors","Chevrolet","IMPALA",3.6,6,"Auto(S6)",18,28,6,"F"
"General Motors","Chevrolet","SS",6.2,8,"Auto(S6)",14,22,6,"R"
"General Motors","Chevrolet","SS",6.2,8,"Manual(M6)",14,22,6,"R"
"FCA US LLC","Chrysler","300",3.6,6,"Auto(A8)",19,30,8,"R"
"FCA US LLC","Chrysler","300",3.6,6,"Auto(A8)",19,30,8,"R"
"FCA US LLC","Chrysler","300",5.7,8,"Auto(A8)",16,25,8,"R"
"FCA US LLC","Chrysler","300 AWD",3.6,6,"Auto(A8)",18,27,8,"A"
"FCA US LLC","Chrysler","300 AWD",3.6,6,"Auto(A8)",18,27,8,"A"
"FCA US LLC","Dodge","Charger",3.6,6,"Auto(A8)",19,30,8,"R"
"FCA US LLC","Dodge","Charger",3.6,6,"Auto(A8)",19,30,8,"R"
"FCA US LLC","Dodge","Charger",5.7,8,"Auto(A8)",16,25,8,"R"
"FCA US LLC","Dodge","Charger",6.4,8,"Auto(A8)",15,25,8,"R"
"FCA US LLC","Dodge","Charger AWD",3.6,6,"Auto(A8)",18,27,8,"A"
"FCA US LLC","Dodge","Charger AWD",3.6,6,"Auto(A8)",18,27,8,"A"
"FCA US LLC","Dodge","Charger SRT",6.2,8,"Auto(A8)",13,22,8,"R"
"FCA US LLC","Dodge","Charger SRT",6.4,8,"Auto(A8)",15,25,8,"R"
"Ford Motor Company","Ford","C-MAX Hybrid FWD",2,4,"Auto(AV)",42,38,1,"F"
"Ford Motor Company","Ford","TAURUS AWD",3.5,6,"Auto(S6)",17,24,6,"A"
"Ford Motor Company","Ford","TAURUS AWD",3.5,6,"Auto(S6)",16,24,6,"A"
"Ford Motor Company","Ford","TAURUS AWD FFV",3.5,6,"Auto(S6)",17,24,6,"A"
"Ford Motor Company","Ford","TAURUS FWD",2,4,"Auto(S6)",20,29,6,"F"
"Ford Motor Company","Ford","TAURUS FWD",3.5,6,"Auto(S6)",18,27,6,"F"
"Ford Motor Company","Ford","TAURUS FWD FFV",3.5,6,"Auto(S6)",18,27,6,"F"
"Hyundai","GENESIS","G80 AWD",3.8,6,"Auto(S8)",16,25,8,"A"
"Hyundai","GENESIS","G80 RWD",3.8,6,"Auto(S8)",18,28,8,"R"
"Hyundai","GENESIS","G80 RWD",5,8,"Auto(S8)",15,23,8,"R"
"Hyundai","GENESIS","G90 AWD",3.3,6,"Auto(S8)",17,24,8,"A"
"Hyundai","GENESIS","G90 AWD",5,8,"Auto(S8)",15,23,8,"A"
"Hyundai","GENESIS","G90 RWD",3.3,6,"Auto(S8)",17,24,8,"R"
"Hyundai","GENESIS","G90 RWD",5,8,"Auto(S8)",16,24,8,"R"
"Honda","Honda","CIVIC 5Dr",1.5,4,"Auto(AV)",31,40,1,"F"
"Honda","Honda","CIVIC 5Dr",1.5,4,"Manual(M6)",30,39,6,"F"
"Honda","Honda","CIVIC 5Dr Sport",1.5,4,"Auto(AV-S7)",30,36,7,"F"
"Honda","Honda","CIVIC 5Dr Sport",1.5,4,"Manual(M6)",30,39,6,"F"
"Hyundai","HYUNDAI MOTOR COMPANY","Azera",3.3,6,"Auto(S6)",20,28,6,"F"
"Hyundai","HYUNDAI MOTOR COMPANY","Azera Limited",3.3,6,"Auto(S6)",19,28,6,"F"
"Hyundai","HYUNDAI MOTOR COMPANY","Ioniq",1.6,4,"Auto(AM6)",55,54,6,"F"
"Hyundai","HYUNDAI MOTOR COMPANY","Ioniq Blue",1.6,4,"Auto(AM6)",57,59,6,"F"
"Hyundai","HYUNDAI MOTOR COMPANY","Sonata",1.6,4,"Auto(AM7)",28,36,7,"F"
"Hyundai","HYUNDAI MOTOR COMPANY","Sonata",2,4,"Auto(S6)",22,31,6,"F"
"Hyundai","HYUNDAI MOTOR COMPANY","Sonata",2.4,4,"Auto(S6)",25,36,6,"F"
"Hyundai","HYUNDAI MOTOR COMPANY","Sonata Limited",2,4,"Auto(S6)",21,30,6,"F"
"Hyundai","HYUNDAI MOTOR COMPANY","Sonata SPORT/LIMITED",2.4,4,"Auto(S6)",25,35,6,"F"
"Jaguar Land Rover L","Jaguar","XJ",3,6,"Auto(S8)",18,27,8,"R"
"Jaguar Land Rover L","Jaguar","XJ",5,8,"Auto(S8)",15,23,8,"R"
"Jaguar Land Rover L","Jaguar","XJ AWD",3,6,"Auto(S8)",17,26,8,"A"
"Jaguar Land Rover L","Jaguar","XJL",3,6,"Auto(S8)",18,27,8,"R"
"Jaguar Land Rover L","Jaguar","XJL",5,8,"Auto(S8)",15,23,8,"R"
"Jaguar Land Rover L","Jaguar","XJL AWD",3,6,"Auto(S8)",17,25,8,"A"
"Kia","KIA MOTORS CORPORATION","Cadenza",3.3,6,"Auto(S8)",20,28,8,"F"
"Kia","KIA MOTORS CORPORATION","Forte5",1.6,4,"Auto(AM7)",25,30,7,"F"
"Kia","KIA MOTORS CORPORATION","Forte5",1.6,4,"Manual(M6)",23,29,6,"F"
"Kia","KIA MOTORS CORPORATION","Forte5",2,4,"Auto(S6)",25,34,6,"F"
"Kia","KIA MOTORS CORPORATION","K900",3.8,6,"Auto(S8)",17,25,8,"R"
"Kia","KIA MOTORS CORPORATION","K900",5,8,"Auto(S8)",15,23,8,"R"
"Kia","KIA MOTORS CORPORATION","Optima",1.6,4,"Auto(AM7)",28,37,7,"F"
"Kia","KIA MOTORS CORPORATION","Optima",2,4,"Auto(S6)",22,31,6,"F"
"Kia","KIA MOTORS CORPORATION","Optima",2.4,4,"Auto(S6)",24,34,6,"F"
"Kia","KIA MOTORS CORPORATION","Optima FE",2.4,4,"Auto(S6)",25,36,6,"F"
"Ford Motor Company","Lincoln","CONTINENTAL AWD",2.7,6,"Auto(S6)",17,25,6,"A"
"Ford Motor Company","Lincoln","CONTINENTAL AWD",3,6,"Auto(S6)",16,24,6,"A"
"Ford Motor Company","Lincoln","CONTINENTAL AWD",3.7,6,"Auto(S6)",16,24,6,"A"
"Ford Motor Company","Lincoln","CONTINENTAL FWD",2.7,6,"Auto(S6)",18,27,6,"F"
"Ford Motor Company","Lincoln","CONTINENTAL FWD",3.7,6,"Auto(S6)",17,26,6,"F"
"Maserati","MASERATI","QUATTROPORTE GTS",3.8,8,"Auto(A8)",15,22,8,"R"
"Maserati","MASERATI","QUATTROPORTE S",3,6,"Auto(A8)",16,23,8,"R"
"Maserati","MASERATI","QUATTROPORTE SQ4 V6",3,6,"Auto(A8)",16,23,8,"A"
"Mercedes-Benz","Mercedes-Benz","AMG S 63 4MATIC",5.5,8,"Auto(A7)",15,23,7,"4"
"Mercedes-Benz","Mercedes-Benz","AMG S 65",6,12,"Auto(A7)",13,22,7,"R"
"Mercedes-Benz","Mercedes-Benz","Maybach S 600",6,12,"Auto(A7)",13,21,7,"R"
"Mercedes-Benz","Mercedes-Benz","S 550",4.7,8,"Auto(A9)",18,26,9,"R"
"Mercedes-Benz","Mercedes-Benz","S 550 4MATIC",4.7,8,"Auto(A9)",16,25,9,"4"
"Mercedes-Benz","Mercedes-Benz","S 550 4MATIC Maybach",4.7,8,"Auto(A9)",16,24,9,"4"
"Mercedes-Benz","Mercedes-Benz","S 600",6,12,"Auto(A7)",13,22,7,"R"
"Rolls-Royce","Rolls-Royce Motor Cars Limited","Ghost",6.6,12,"Auto(S8)",12,19,8,"R"
"Rolls-Royce","Rolls-Royce Motor Cars Limited","Ghost EWB",6.6,12,"Auto(S8)",12,19,8,"R"
"Rolls-Royce","Rolls-Royce Motor Cars Limited","Phantom",6.7,12,"Auto(S8)",11,19,8,"R"
"Rolls-Royce","Rolls-Royce Motor Cars Limited","Phantom EWB",6.7,12,"Auto(S8)",11,19,8,"R"
"Volkswagen Group of","Audi","A4 allroad quattro",2,4,"Auto(AM-S7)",23,28,7,"A"
"BMW","BMW","328d xDrive Sports Wagon",2,4,"Auto(S8)",30,40,8,"A"
"BMW","BMW","330i xDrive Sports Wagon",2,4,"Auto(S8)",23,33,8,"A"
"General Motors","Chevrolet","SONIC 5",1.4,4,"Auto(S6)",27,36,6,"F"
"General Motors","Chevrolet","SONIC 5",1.4,4,"Manual(M6)",28,38,6,"F"
"General Motors","Chevrolet","SONIC 5",1.8,4,"Auto(S6)",24,34,6,"F"
"General Motors","Chevrolet","SONIC 5",1.8,4,"Manual(M5)",25,33,5,"F"
"FCA US LLC","FIAT","500L",1.4,4,"Auto(A6)",22,30,6,"F"
"Honda","Honda","FIT",1.5,4,"Auto(AV)",33,40,1,"F"
"Honda","Honda","FIT",1.5,4,"Auto(AV-S7)",32,37,7,"F"
"Honda","Honda","FIT",1.5,4,"Manual(M6)",29,36,6,"F"
"Honda","Honda","HR-V AWD",1.8,4,"Auto(AV)",27,31,1,"A"
"Honda","Honda","HR-V AWD",1.8,4,"Auto(AV-S7)",27,31,7,"A"
"Honda","Honda","HR-V FWD",1.8,4,"Auto(AV)",28,34,1,"F"
"Honda","Honda","HR-V FWD",1.8,4,"Auto(AV-S7)",28,34,7,"F"
"Honda","Honda","HR-V FWD",1.8,4,"Manual(M6)",25,33,6,"F"
"Nissan","INFINITI","QX50",3.7,6,"Auto(S7)",17,24,7,"R"
"Nissan","INFINITI","QX50 AWD",3.7,6,"Auto(S7)",17,24,7,"A"
"Kia","KIA MOTORS CORPORATION","Niro",1.6,4,"Auto(AM6)",51,46,6,"F"
"Kia","KIA MOTORS CORPORATION","Niro FE",1.6,4,"Auto(AM6)",52,49,6,"F"
"Kia","KIA MOTORS CORPORATION","Niro Touring",1.6,4,"Auto(AM6)",46,40,6,"F"
"Kia","KIA MOTORS CORPORATION","Soul",1.6,4,"Auto(AM7)",26,31,7,"F"
"Kia","KIA MOTORS CORPORATION","Soul",1.6,4,"Auto(S6)",25,30,6,"F"
"Kia","KIA MOTORS CORPORATION","Soul",1.6,4,"Manual(M6)",24,30,6,"F"
"Kia","KIA MOTORS CORPORATION","Soul",2,4,"Auto(S6)",25,30,6,"F"
"Nissan","NISSAN","JUKE",1.6,4,"Auto(AV-S7)",28,32,7,"F"
"Nissan","NISSAN","JUKE",1.6,4,"Manual(M6)",27,33,6,"F"
"Nissan","NISSAN","JUKE AWD",1.6,4,"Auto(AV-S7)",26,30,7,"A"
"Nissan","NISSAN","JUKE NISMO RS",1.6,4,"Manual(M6)",26,31,6,"F"
"Nissan","NISSAN","JUKE NISMO RS AWD",1.6,4,"Auto(AV-S8)",25,29,8,"A"
"Subaru","Subaru","IMPREZA 5-Door",2,4,"Auto(AV-S7)",28,37,7,"A"
"Subaru","Subaru","IMPREZA SPORT 5-Door",2,4,"Auto(AV-S7)",27,35,7,"A"
"Volkswagen Group of","Volkswagen","Golf Alltrack",1.8,4,"Auto(AM-S6)",22,30,6,"A"
"Volkswagen Group of","Volkswagen","Golf SportWagen",1.8,4,"Auto(S6)",25,34,6,"F"
"Volkswagen Group of","Volkswagen","Golf SportWagen",1.8,4,"Manual(M5)",25,35,5,"F"
"Volkswagen Group of","Volkswagen","Golf SportWagen 4Motion",1.8,4,"Auto(AM-S6)",22,30,6,"A"
"Volvo","Volvo Cars of North America, LLC","V60 AWD",2,4,"Auto(S8)",23,31,8,"A"
"Volvo","Volvo Cars of North America, LLC","V60 AWD",2,4,"Auto(S8)",22,32,8,"A"
"Volvo","Volvo Cars of North America, LLC","V60 CC AWD",2,4,"Auto(S8)",22,30,8,"A"
"Volvo","Volvo Cars of North America, LLC","V60 FWD",2,4,"Auto(S8)",25,36,8,"F"
"Volvo","Volvo Cars of North America, LLC","V60 Polestar AWD",2,4,"Auto(S8)",20,27,8,"A"
"Mercedes-Benz","Mercedes-Benz","AMG GLA 45 4MATIC",2,4,"Auto(AM7)",22,28,7,"4"
"Mercedes-Benz","Mercedes-Benz","GLA 250",2,4,"Auto(AM7)",24,33,7,"F"
"Nissan","NISSAN","MURANO AWD",3.5,6,"Auto(AV-S7)",21,28,7,"A"
"Nissan","NISSAN","MURANO FWD",3.5,6,"Auto(AV-S7)",21,28,7,"F"
"Toyota","TOYOTA","PRIUS v",1.8,4,"Auto(AV)",43,39,1,"F"
"Volvo","Volvo Cars of North America, LLC","V90 CC AWD",2,4,"Auto(S8)",22,30,8,"A"
"General Motors","Chevrolet","COLORADO 2WD",2.5,4,"Auto(A6)",20,26,6,"R"
"General Motors","Chevrolet","COLORADO 2WD",2.5,4,"Manual(M6)",19,26,6,"R"
"General Motors","Chevrolet","COLORADO 2WD",2.8,4,"Auto(A6)",22,30,6,"R"
"General Motors","Chevrolet","COLORADO 2WD",3.6,6,"Auto(A8)",18,25,8,"R"
"General Motors","GMC","CANYON 2WD",2.5,4,"Auto(A6)",20,26,6,"R"
"General Motors","GMC","CANYON 2WD",2.5,4,"Manual(M6)",19,26,6,"R"
"General Motors","GMC","CANYON 2WD",2.8,4,"Auto(A6)",22,30,6,"R"
"General Motors","GMC","CANYON 2WD",3.6,6,"Auto(A8)",18,25,8,"R"
"Honda","Honda","RIDGELINE FWD",3.5,6,"Auto(A6)",19,26,6,"F"
"Nissan","NISSAN","FRONTIER 2WD",2.5,4,"Auto(A5)",17,22,5,"R"
"Nissan","NISSAN","FRONTIER 2WD",2.5,4,"Manual(M5)",19,23,5,"R"
"Nissan","NISSAN","FRONTIER 2WD",4,6,"Auto(A5)",16,23,5,"R"
"Nissan","NISSAN","FRONTIER 2WD",4,6,"Manual(M6)",16,22,6,"R"
"Nissan","NISSAN","FRONTIER 2WD FFV",4,6,"Auto(A5)",16,22,5,"R"
"Toyota","TOYOTA","TACOMA 2WD",2.7,4,"Auto(S6)",19,23,6,"R"
"Toyota","TOYOTA","TACOMA 2WD",3.5,6,"Auto(S6)",19,24,6,"R"
"General Motors","Chevrolet","COLORADO 4WD",2.5,4,"Auto(A6)",19,24,6,"4"
"General Motors","Chevrolet","COLORADO 4WD",2.8,4,"Auto(A6)",20,28,6,"4"
"General Motors","Chevrolet","COLORADO 4WD",3.6,6,"Auto(A8)",17,24,8,"4"
"General Motors","GMC","CANYON 4WD",2.5,4,"Auto(A6)",19,24,6,"4"
"General Motors","GMC","CANYON 4WD",2.8,4,"Auto(A6)",20,28,6,"4"
"General Motors","GMC","CANYON 4WD",3.6,6,"Auto(A8)",17,24,8,"4"
"Nissan","NISSAN","FRONTIER 4WD",4,6,"Auto(A5)",15,21,5,"P"
"Nissan","NISSAN","FRONTIER 4WD",4,6,"Manual(M6)",16,21,6,"P"
"Nissan","NISSAN","FRONTIER 4WD FFV",4,6,"Auto(A5)",15,21,5,"P"
"Toyota","TOYOTA","TACOMA 4WD",2.7,4,"Auto(S6)",19,22,6,"P"
"Toyota","TOYOTA","TACOMA 4WD",2.7,4,"Manual(M5)",19,21,5,"P"
"Toyota","TOYOTA","TACOMA 4WD",3.5,6,"Auto(S6)",18,23,6,"P"
"Toyota","TOYOTA","TACOMA 4WD",3.5,6,"Manual(M6)",17,21,6,"P"
"Toyota","TOYOTA","TACOMA 4WD D-CAB V6 MT OFF-ROAD",3.5,6,"Manual(M6)",17,20,6,"P"
"General Motors","Chevrolet","C15 SILVERADO 2WD",4.3,6,"Auto(A6)",18,24,6,"R"
"General Motors","Chevrolet","C15 SILVERADO 2WD",5.3,8,"Auto(A6)",16,23,6,"R"
"General Motors","Chevrolet","C15 SILVERADO 2WD",5.3,8,"Auto(A6)",16,23,6,"R"
"General Motors","Chevrolet","C15 SILVERADO 2WD",5.3,8,"Auto(A8)",16,22,8,"R"
"General Motors","Chevrolet","C15 SILVERADO 2WD",5.3,8,"Auto(A8)",18,24,8,"R"
"General Motors","Chevrolet","C15 SILVERADO 2WD",6.2,8,"Auto(A8)",15,21,8,"R"
"Ford Motor Company","Ford","F150 2.7L 2WD GVWR>6649 LBS",2.7,6,"Auto(S6)",18,24,6,"R"
"Ford Motor Company","Ford","F150 2WD BASE PAYLOAD LT TIRE",2.7,6,"Auto(S6)",19,24,6,"R"
"Ford Motor Company","Ford","F150 2WD BASE PAYLOAD LT TIRE",3.5,6,"Auto(S10)",18,23,10,"R"
"Ford Motor Company","Ford","F150 3.5L 2WD GVWR>7599 LBS",3.5,6,"Auto(S10)",17,22,10,"R"
"Ford Motor Company","Ford","F150 5.0L 2WD FFV GVWR>7599 LBS",5,8,"Auto(S6)",14,20,6,"R"
"Ford Motor Company","Ford","F150 PICKUP 2WD",2.7,6,"Auto(S6)",19,26,6,"R"
"Ford Motor Company","Ford","F150 PICKUP 2WD",3.5,6,"Auto(S10)",18,25,10,"R"
"Ford Motor Company","Ford","F150 PICKUP 2WD FFV",3.5,6,"Auto(A6)",18,24,6,"R"
"Ford Motor Company","Ford","F150 PICKUP 2WD FFV",5,8,"Auto(S6)",15,22,6,"R"
"General Motors","GMC","C15 SIERRA 2WD",4.3,6,"Auto(A6)",18,24,6,"R"
"General Motors","GMC","C15 SIERRA 2WD",5.3,8,"Auto(A6)",16,23,6,"R"
"General Motors","GMC","C15 SIERRA 2WD",5.3,8,"Auto(A6)",16,23,6,"R"
"General Motors","GMC","C15 SIERRA 2WD",5.3,8,"Auto(A8)",16,22,8,"R"
"General Motors","GMC","C15 SIERRA 2WD",5.3,8,"Auto(A8)",18,24,8,"R"
"General Motors","GMC","C15 SIERRA 2WD",6.2,8,"Auto(A8)",15,21,8,"R"
"Nissan","NISSAN","TITAN 2WD",5.6,8,"Auto(S7)",15,21,7,"R"
"FCA US LLC","RAM","1500 4X2",3.6,6,"Auto(A8)",17,25,8,"R"
"FCA US LLC","RAM","1500 4X2",5.7,8,"Auto(A8)",15,22,8,"R"
"Toyota","TOYOTA","TUNDRA 2WD",4.6,8,"Auto(S6)",15,19,6,"R"
"Toyota","TOYOTA","TUNDRA 2WD",5.7,8,"Auto(S6)",13,18,6,"R"
"Toyota","TOYOTA","TUNDRA 2WD FFV",5.7,8,"Auto(S6)",13,18,6,"R"
"General Motors","Chevrolet","K15 SILVERADO 4WD",4.3,6,"Auto(A6)",17,22,6,"4"
"General Motors","Chevrolet","K15 SILVERADO 4WD",5.3,8,"Auto(A6)",16,22,6,"4"
"General Motors","Chevrolet","K15 SILVERADO 4WD",5.3,8,"Auto(A6)",16,22,6,"4"
"General Motors","Chevrolet","K15 SILVERADO 4WD",5.3,8,"Auto(A8)",15,20,8,"4"
"General Motors","Chevrolet","K15 SILVERADO 4WD",5.3,8,"Auto(A8)",16,21,8,"4"
"General Motors","Chevrolet","K15 SILVERADO 4WD",6.2,8,"Auto(A8)",15,20,8,"4"
"Ford Motor Company","Ford","F150 2.7L 4WD GVWR>6649 LBS",2.7,6,"Auto(S6)",18,22,6,"P"
"Ford Motor Company","Ford","F150 3.5L 4WD GVWR>7599 LBS",3.5,6,"Auto(S10)",17,21,10,"P"
"Ford Motor Company","Ford","F150 4WD BASE PAYLOAD LT TIRE",2.7,6,"Auto(S6)",17,21,6,"P"
"Ford Motor Company","Ford","F150 4WD BASE PAYLOAD LT TIRE",3.5,6,"Auto(S10)",17,22,10,"P"
"Ford Motor Company","Ford","F150 4WD FFV BASE PAYLOAD LT TIRE",5,8,"Auto(S6)",15,20,6,"P"
"Ford Motor Company","Ford","F150 5.0L 4WD FFV GVWR>7599 LBS",5,8,"Auto(S6)",14,19,6,"P"
"Ford Motor Company","Ford","F150 PICKUP 4WD",2.7,6,"Auto(S6)",18,23,6,"P"
"Ford Motor Company","Ford","F150 PICKUP 4WD",3.5,6,"Auto(S10)",17,23,10,"P"
"Ford Motor Company","Ford","F150 PICKUP 4WD FFV",3.5,6,"Auto(A6)",17,23,6,"P"
"Ford Motor Company","Ford","F150 PICKUP 4WD FFV",5,8,"Auto(S6)",15,21,6,"P"
"Ford Motor Company","Ford","F150 RAPTOR 4WD",3.5,6,"Auto(S10)",15,18,10,"P"
"General Motors","GMC","K15 SIERRA 4WD",4.3,6,"Auto(A6)",17,22,6,"4"
"General Motors","GMC","K15 SIERRA 4WD",5.3,8,"Auto(A6)",16,22,6,"4"
"General Motors","GMC","K15 SIERRA 4WD",5.3,8,"Auto(A6)",16,22,6,"4"
"General Motors","GMC","K15 SIERRA 4WD",5.3,8,"Auto(A8)",15,20,8,"4"
"General Motors","GMC","K15 SIERRA 4WD",5.3,8,"Auto(A8)",16,21,8,"4"
"General Motors","GMC","K15 SIERRA 4WD",6.2,8,"Auto(A8)",15,20,8,"4"
"Honda","Honda","RIDGELINE AWD",3.5,6,"Auto(A6)",18,25,6,"A"
"Nissan","NISSAN","TITAN 4WD",5.6,8,"Auto(S7)",15,21,7,"P"
"Nissan","NISSAN","TITAN 4WD PRO-4X",5.6,8,"Auto(S7)",15,20,7,"P"
"FCA US LLC","RAM","1500 4X4",3.6,6,"Auto(A8)",16,23,8,"4"
"FCA US LLC","RAM","1500 4X4",5.7,8,"Auto(A6)",13,19,6,"4"
"FCA US LLC","RAM","1500 4X4",5.7,8,"Auto(A8)",15,21,8,"4"
"Toyota","TOYOTA","TUNDRA 4WD",4.6,8,"Auto(S6)",14,18,6,"P"
"Toyota","TOYOTA","TUNDRA 4WD",5.7,8,"Auto(S6)",13,17,6,"P"
"Toyota","TOYOTA","TUNDRA 4WD FFV",5.7,8,"Auto(S6)",13,17,6,"P"
"General Motors","Chevrolet","G2500 EXPRESS 2WD PASS MDPV",6,8,"Auto(A6)",11,16,6,"R"
"General Motors","Chevrolet","G3500 EXPRESS 2WD PASS MDPV",6,8,"Auto(A6)",11,16,6,"R"
"Ford Motor Company","Ford","Transit T150 Wagon",3.5,6,"Auto(S6)",15,19,6,"R"
"Ford Motor Company","Ford","TRANSIT T150 WAGON FFV",3.7,6,"Auto(S6)",14,18,6,"R"
"General Motors","GMC","G2500 SAVANA 2WD PASS MDPV",6,8,"Auto(A6)",11,16,6,"R"
"General Motors","GMC","G3500 SAVANA 2WD PASS MDPV",6,8,"Auto(A6)",11,16,6,"R"
"General Motors","Cadillac","XTS HEARSE",3.6,6,"Auto(S6)",15,21,6,"F"
"General Motors","Cadillac","XTS LIMO",3.6,6,"Auto(S6)",15,21,6,"F"
"Nissan","CHEVROLET","City Express Cargo Van",2,4,"Auto(AV)",24,26,1,"F"
"Ford Motor Company","Ford","Transit Connect Van 2WD",2.5,4,"Auto(S6)",20,27,6,"F"
"Ford Motor Company","Ford","TRANSIT CONNECT VAN FFV",2.5,4,"Auto(S6)",20,27,6,"F"
"Ford Motor Company","Ford","TRANSIT CONNECT WAGON FFV",2.5,4,"Auto(S6)",19,27,6,"F"
"Ford Motor Company","Ford","TRANSIT CONNECT WAGON FWD",2.5,4,"Auto(S6)",19,27,6,"F"
"Ford Motor Company","Ford","TRANSIT CONNECT WAGON LWB FFV",2.5,4,"Auto(S6)",19,27,6,"F"
"Ford Motor Company","Ford","Transit Connect Wagon LWB FWD",2.5,4,"Auto(S6)",19,27,6,"F"
"Mercedes-Benz","Mercedes-Benz","Metris (Cargo Van)",2,4,"Auto(A7)",21,24,7,"R"
"Mercedes-Benz","Mercedes-Benz","Metris (Passenger Van)",2,4,"Auto(A7)",20,23,7,"R"
"Nissan","NISSAN","NV200 Cargo Van",2,4,"Auto(AV)",24,26,1,"F"
"FCA US LLC","RAM","Promaster City",2.4,4,"Auto(A9)",21,28,9,"F"
"Ford Motor Company","Lincoln","MKT LIVERY AWD",3.7,6,"Auto(A6)",16,23,6,"A"
"General Motors","Chevrolet","C15 SILVERADO 2WD CAB CHASSIS",5.3,8,"Auto(A6)",15,20,6,"R"
"General Motors","Chevrolet","COLORADO CAB CHASSIS 2WD",3.6,6,"Auto(A8)",15,17,8,"R"
"General Motors","Chevrolet","K15 SILVERADO 4WD CAB CHASSIS",5.3,8,"Auto(A6)",15,19,6,"4"
"General Motors","GMC","C15 SIERRA 2WD CAB CHASSIS",5.3,8,"Auto(A6)",15,20,6,"R"
"General Motors","GMC","CANYON CAB CHASSIS 2WD",3.6,6,"Auto(A8)",15,17,8,"R"
"General Motors","GMC","K15 SIERRA 4WD CAB CHASSIS",5.3,8,"Auto(A6)",15,19,6,"4"
"FCA US LLC","Chrysler","Pacifica",3.6,6,"Auto(A9)",18,28,9,"F"
"FCA US LLC","Dodge","Grand Caravan",3.6,6,"Auto(A6)",17,25,6,"F"
"FCA US LLC","Dodge","Grand Caravan",3.6,6,"Auto(A6)",17,25,6,"F"
"Honda","Honda","ODYSSEY FWD",3.5,6,"Auto(A6)",19,27,6,"F"
"Kia","KIA MOTORS CORPORATION","Sedona",3.3,6,"Auto(S6)",18,24,6,"F"
