"manufacturer","mfr.division","carline","displacement","cylinders","transmission","city.fe","hwy.fe","gears","drive.system"
"Toyota","LEXUS","GS F",5,8,"Auto(S8)",16,24,8,"R"
"Toyota","LEXUS","IS 200t",2,4,"Auto(S8)",22,32,8,"R"
"Toyota","LEXUS","IS 300 AWD",3.5,6,"Auto(S6)",19,26,6,"A"
"Toyota","LEXUS","IS 350",3.5,6,"Auto(S8)",19,28,8,"R"
"Toyota","LEXUS","IS 350 AWD",3.5,6,"Auto(S6)",19,26,6,"A"
"MAZDA","MAZDA","CX-3 2WD",2,4,"Auto(S6)",29,34,6,"F"
"MAZDA","MAZDA","CX-3 4WD",2,4,"Auto(S6)",27,32,6,"4"
"MAZDA","MAZDA","MAZDA2",1.5,4,"Auto(S6)",32,40,6,"F"
"MAZDA","MAZDA","MAZDA2",1.5,4,"Manual(M6)",30,39,6,"F"
"MAZDA","MAZDA","MAZDA3 4-Door",2,4,"Auto(S6)",28,37,6,"F"
"MAZDA","MAZDA","MAZDA3 4-Door",2,4,"Manual(M6)",27,37,6,"F"
"MAZDA","MAZDA","MAZDA3 4-Door",2.5,4,"Auto(S6)",28,37,6,"F"
"MAZDA","MAZDA","MAZDA3 4-Door",2.5,4,"Auto(S6)",27,36,6,"F"
"MAZDA","MAZDA","MAZDA3 4-Door",2.5,4,"Manual(M6)",25,34,6,"F"
"Mercedes-Benz","Mercedes-Benz","AMG C 43 4MATIC",3,6,"Auto(A9)",20,28,9,"4"
"Mercedes-Benz","Mercedes-Benz","AMG C 63",4,8,"Auto(A7)",18,25,7,"R"
"Mercedes-Benz","Mercedes-Benz","AMG C 63 S",4,8,"Auto(A7)",18,24,7,"R"
"Mercedes-Benz","Mercedes-Benz","AMG CLA 45 4MATIC",2,4,"Auto(AM7)",23,30,7,"4"
"Mercedes-Benz","Mercedes-Benz","AMG CLS 63 S 4MATIC",5.5,8,"Auto(A7)",16,22,7,"4"
"Mercedes-Benz","Mercedes-Benz","AMG S 63 4MATIC (coupe)",5.5,8,"Auto(A7)",15,23,7,"4"
"Mercedes-Benz","Mercedes-Benz","C 300",2,4,"Auto(A7)",24,34,7,"R"
"Mercedes-Benz","Mercedes-Benz","C 300 4MATIC",2,4,"Auto(A7)",24,31,7,"4"
"Mercedes-Benz","Mercedes-Benz","CLA 250",2,4,"Auto(AM7)",24,36,7,"F"
"Mercedes-Benz","Mercedes-Benz","CLA 250 4MATIC",2,4,"Auto(AM7)",23,32,7,"4"
"Mercedes-Benz","Mercedes-Benz","CLA 250 4MATIC",2,4,"Auto(AM7)",23,32,7,"4"
"Mercedes-Benz","Mercedes-Benz","CLS 550",4.7,8,"Auto(A9)",18,26,9,"R"
"Mercedes-Benz","Mercedes-Benz","CLS 550 4MATIC",4.7,8,"Auto(A9)",17,25,9,"4"
"Mercedes-Benz","Mercedes-Benz","S 550 4MATIC (coupe)",4.7,8,"Auto(A9)",17,25,9,"4"
